2022-09-26 10:07:49.248 [main] WARN  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [top.anets.DesignApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'testController' for bean class [top.anets.modules.excel.bigSpeed.testController] conflicts with existing, non-compatible bean definition of same name and class [top.anets.modules.bigDataInsert.controller.TestController]
2022-09-26 10:09:13.054 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:27:12.323 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:38:52.838 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:41:59.670 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:44:45.520 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:47:37.970 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:50:39.178 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:52:54.083 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 10:58:20.591 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 12:05:10.679 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 12:09:19.891 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 13:08:46.125 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 13:11:35.571 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 13:14:37.428 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
2022-09-26 13:19:32.082 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ruoyi.module.**.mapper]' package. Please check your configuration.
